Transect,Lat_deg,Lat_min,dec_lat,Long_deg,Long_min,dec_long,CW_from_north,Rise_over_run,Fetch_km,Position
1,42,59.272,42.987867,70,36.97,-70.616167,250,,,sheltered
2,42,59.283,42.98805,70,37.04,-70.617333,340,,,sheltered
3,42,59.306,42.988433,70,36.965,-70.616083,290,,,sheltered
4,42,59.329,42.988817,70,36.985,-70.616417,254,0.29,,sheltered
5,42,59.366,42.989433,70,37.029,-70.61715,242,0.16,,sheltered
6,42,59.395,42.989917,70,37.034,-70.617233,282,0.08,,sheltered
7,42,59.476,42.991267,70,37.016,-70.616933,305,0.12,9.85,sheltered
8,42,59.515,42.991917,70,36.969,-70.61615,319,,,sheltered
9,42,59.556,42.9926,70,36.931,-70.615517,343,,,sheltered
10,42,59.541,42.99235,70,36.842,-70.614033,65,,,exposed
11,42,59.518,42.991967,70,36.87,-70.6145,62,,,exposed
12,42,59.514,42.9919,70,36.835,-70.613917,23,,,exposed
13,42,59.54,42.992333,70,36.775,-70.612917,62,,,exposed
14,42,59.492,42.991533,70,36.726,-70.6121,67,,,exposed
15,42,59.467,42.991117,70,36.711,-70.61185,125,0.24,6241.24,exposed
16,42,59.372,42.989533,70,36.787,-70.613117,71,,,exposed
17,42,59.347,42.989117,70,36.775,-70.612917,71,,,exposed
18,42,59.35,42.989167,70,36.687,-70.61145,26,0.31,,exposed
19,42,59.351,42.989183,70,36.665,-70.611083,54,0.3,,exposed
20,42,59.335,42.988917,70,36.621,-70.61035,70,0.13,370.149,exposed
21,42,59.293,42.988217,70,36.604,-70.610067,76,,,exposed
22,42,59.271,42.98785,70,36.568,-70.609467,89,0.30,,exposed
23,42,59.231,42.987183,70,36.591,-70.60985,180,,,exposed
24,42,59.165,42.986083,70,36.668,-70.611133,159,,,exposed
25,42,59.112,42.9852,70,36.762,-70.6127,188,,,exposed
26,42,59.081,42.984683,70,37.031,-70.617183,230,0.14,0.926,sheltered
27,42,59.124,42.9854,70,37.11,-70.6185,220,,,sheltered
28,42,59.171,42.986183,70,37.099,-70.618317,317,,,sheltered